feature,importance
BMI,0.2688138604683285
Weight,0.10749075882981084
BMI_category_Obesidade grau I,0.09981812359783258
BMI_category_Sobrepeso,0.0811616739248433
BMI_category_Peso normal,0.07487889999540999
BMI_category_Abaixo do peso,0.0645831382181618
BMI_category_Obesidade grau III,0.04266476885592304
Gender_Female,0.03314236964022146
BMI_category_Obesidade grau II,0.032092355098704575
Gender_Male,0.030954827063357077
Height,0.029133102142439183
Age,0.028005889254785532
FCVC,0.011544137583440433
CALC_Sometimes,0.01029459133221495
family_history_overweight_no,0.009789089026945875
CALC_no,0.007874340855544422
NCP,0.007313335610068261
FAF,0.007064707059462234
family_history_overweight_yes,0.0063779758677393675
CAEC_Sometimes,0.0061360386003193705
CAEC_Frequently,0.0052284698642049154
FAVC_yes,0.005207081366713974
MTRANS_Public_Transportation,0.0048431075787222855
MTRANS_Automobile,0.004561226310262936
FAVC_no,0.004495221412877204
time_technology_devices,0.004474089264061775
CH2O,0.0035318734774631914
SCC_no,0.0023799434744625385
SCC_yes,0.001872669268581815
CAEC_Always,0.0011286898848086814
CALC_Frequently,0.0009586660885393116
MTRANS_Walking,0.0005967808068828583
CAEC_no,0.0005268565633097692
SMOKE_yes,0.0004898817034961437
SMOKE_no,0.0003695654466982829
MTRANS_Bike,0.00012576630156658047
MTRANS_Motorbike,7.612816179503626e-05
CALC_Always,0.0
